(CET) 25/03/2023 23:52:20 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 25/03/2023 23:52:20 | 1008145667622969397 | stopped
(CET) 25/03/2023 23:52:20 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: [None])
(CET) 25/03/2023 23:52:23 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [50.0, False, True])
(CET) 25/03/2023 23:52:23 | all | Updated guilds.json
(CET) 25/03/2023 23:52:23 | all | Updated guilds.json
(CET) 25/03/2023 23:52:32 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: ['50', False, False])
(CET) 25/03/2023 23:52:33 | all | Updated guilds.json
(CET) 25/03/2023 23:52:52 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 25/03/2023 23:52:54 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [50.0, False, True])
(CET) 25/03/2023 23:52:54 | all | Updated guilds.json
(CET) 25/03/2023 23:52:54 | all | Updated guilds.json
(CET) 25/03/2023 23:53:23 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 25/03/2023 23:53:26 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [50.0, False, True])
(CET) 25/03/2023 23:53:26 | all | Updated guilds.json
(CET) 25/03/2023 23:53:26 | all | Updated guilds.json
(CET) 25/03/2023 23:53:34 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: ['20', False, False])
(CET) 25/03/2023 23:53:34 | all | Updated guilds.json
(CET) 25/03/2023 23:53:44 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ'])
(CET) 25/03/2023 23:53:44 | 1008145667622969397 | Command (queue) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ', None, True])
(CET) 25/03/2023 23:53:44 | all | Updated guilds.json
(CET) 25/03/2023 23:53:55 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 25/03/2023 23:53:57 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [20.0, False, True])
(CET) 25/03/2023 23:53:57 | all | Updated guilds.json
(CET) 25/03/2023 23:53:57 | all | Updated guilds.json
(CET) 25/03/2023 23:54:15 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ'])
(CET) 25/03/2023 23:54:15 | 1008145667622969397 | Command (queue) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ', None, True])
(CET) 25/03/2023 23:54:15 | all | Updated guilds.json
(CET) 25/03/2023 23:54:17 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ'])
(CET) 25/03/2023 23:54:17 | 1008145667622969397 | Command (queue) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ', None, True])
(CET) 25/03/2023 23:54:17 | all | Updated guilds.json
(CET) 25/03/2023 23:54:26 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 25/03/2023 23:54:28 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [20.0, False, True])
(CET) 25/03/2023 23:54:28 | all | Updated guilds.json
(CET) 25/03/2023 23:54:28 | all | Updated guilds.json
(CET) 25/03/2023 23:54:58 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 25/03/2023 23:55:00 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [20.0, False, True])
(CET) 25/03/2023 23:55:00 | all | Updated guilds.json
(CET) 25/03/2023 23:55:00 | all | Updated guilds.json
(CET) 25/03/2023 23:55:29 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 25/03/2023 23:56:07 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['test drive'])
(CET) 25/03/2023 23:56:07 | 1008145667622969397 | Command (queue) was requested by (Tomer27cz#4272) -- (options: ['test drive', None, True])
(CET) 25/03/2023 23:56:07 | 1008145667622969397 | Command (search) was requested by (Tomer27cz#4272) -- (options: ['test drive', 'short', False])
(CET) 25/03/2023 23:56:10 | all | Updated guilds.json
(CET) 25/03/2023 23:56:10 | all | Updated guilds.json
(CET) 26/03/2023 00:03:22 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['where no one goes'])
(CET) 26/03/2023 00:03:22 | 1008145667622969397 | Command (queue) was requested by (Tomer27cz#4272) -- (options: ['where no one goes', None, True])
(CET) 26/03/2023 00:03:22 | 1008145667622969397 | Command (search) was requested by (Tomer27cz#4272) -- (options: ['where no one goes', 'short', False])
(CET) 26/03/2023 00:03:26 | all | Updated guilds.json
(CET) 26/03/2023 00:03:26 | all | Updated guilds.json
(CET) 26/03/2023 00:03:35 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: [None])
(CET) 26/03/2023 00:03:37 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [20.0, False, True])
(CET) 26/03/2023 00:03:37 | all | Updated guilds.json
(CET) 26/03/2023 00:03:37 | all | Updated guilds.json
(CET) 26/03/2023 00:03:48 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: ['100', False, False])
(CET) 26/03/2023 00:03:48 | all | Updated guilds.json
(CET) 26/03/2023 00:04:40 | 1008145667622969397 | Command (loop) was requested by (Tomer27cz#4272) -- (options: None)
(CET) 26/03/2023 00:04:50 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['test drive'])
(CET) 26/03/2023 00:04:50 | 1008145667622969397 | Command (queue) was requested by (Tomer27cz#4272) -- (options: ['test drive', None, True])
(CET) 26/03/2023 00:04:50 | 1008145667622969397 | Command (search) was requested by (Tomer27cz#4272) -- (options: ['test drive', 'short', False])
